rank,country,region,score,gdp,health_life_expectancy,freedom,perceptions_of_corruption,generosity,dystopia_residual
132,Malawi,Sub-Saharan Africa,4.156000000000001,0.08709,0.29364,0.4143,0.07564,0.30968,2.82859
133,Sudan,Sub-Saharan Africa,4.138999999999999,0.63069,0.29759,0.0,0.10039,0.18077000000000001,2.10995
134,Gabon,Sub-Saharan Africa,4.121,1.15851,0.3494,0.28098,0.09314,0.062439999999999996,1.4533200000000002
135,Mali,Sub-Saharan Africa,4.073,0.31292,0.16347,0.27544,0.13647,0.21064000000000002,2.1108700000000002
136,Haiti,Latin America and Caribbean,4.0280000000000005,0.34097,0.27494,0.12072000000000001,0.14476,0.47958,2.3711599999999997
137,Botswana,Sub-Saharan Africa,3.9739999999999998,1.09426,0.34752,0.44088999999999995,0.10769000000000001,0.12425,0.96741
138,Comoros,Sub-Saharan Africa,3.9560000000000004,0.27509,0.29980999999999997,0.15412,0.18437,0.1827,2.25632
139,Ivory Coast,Sub-Saharan Africa,3.9160000000000004,0.55507,0.04476,0.40663,0.1553,0.20338,1.97478
140,Cambodia,Southeastern Asia,3.907,0.55604,0.42494,0.5885199999999999,0.08092,0.40339,1.3157299999999998
141,Angola,Sub-Saharan Africa,3.866,0.84731,0.04991,0.00589,0.08434,0.12070999999999998,2.09459
142,Niger,Sub-Saharan Africa,3.8560000000000003,0.1327,0.26161999999999996,0.38040999999999997,0.17176,0.2097,2.09469
143,South Sudan,Sub-Saharan Africa,3.832,0.39394,0.15780999999999998,0.19662000000000002,0.13015,0.25899,2.50929
144,Chad,Sub-Saharan Africa,3.763,0.42213999999999996,0.038239999999999996,0.12807000000000002,0.04952,0.18667,2.3063700000000003
145,Burkina Faso,Sub-Saharan Africa,3.739,0.31995,0.21297,0.3337,0.12533,0.24353000000000002,1.8731900000000001
145,Uganda,Sub-Saharan Africa,3.739,0.34719,0.19625,0.43653000000000003,0.06442,0.27102,1.51416
147,Yemen,Middle East and Northern Africa,3.7239999999999998,0.57939,0.31048000000000003,0.2287,0.05892000000000001,0.09821,1.97295
148,Madagascar,Sub-Saharan Africa,3.695,0.27954,0.37109000000000003,0.13684000000000002,0.07506,0.2204,2.15075
149,Tanzania,Sub-Saharan Africa,3.6660000000000004,0.47155,0.35700000000000004,0.3176,0.05099,0.31472,1.3776899999999999
150,Liberia,Sub-Saharan Africa,3.622,0.10705999999999999,0.23165,0.25748000000000004,0.04852,0.24063,2.23284
151,Guinea,Sub-Saharan Africa,3.6069999999999998,0.22415,0.18829,0.30953,0.1192,0.29914,2.15604
152,Rwanda,Sub-Saharan Africa,3.515,0.32846,0.31865,0.5432,0.50521,0.23551999999999998,0.96819
153,Benin,Sub-Saharan Africa,3.484,0.39499,0.21028000000000002,0.39747,0.06681000000000001,0.2018,2.10812
154,Afghanistan,Southern Asia,3.36,0.38227,0.17344,0.1643,0.07112,0.31268,2.14558
155,Togo,Sub-Saharan Africa,3.303,0.28123000000000004,0.24811,0.34678000000000003,0.11587,0.17517,2.1354
156,Syria,Middle East and Northern Africa,3.069,0.7471899999999999,0.6299399999999999,0.06912,0.17232999999999998,0.48396999999999996,0.81789
157,Burundi,Sub-Saharan Africa,2.905,0.06831,0.15747,0.0432,0.09419,0.2029,2.1040400000000004
